dtc_code,description,possible_causes,causes,diagnostic_aids,application
P0354,Ignition Coil D Primary/Secondary Circuit See the description for DTC P0350.," Causes:               See the possible causes for DTC P0350.",," Aids:               See the diagnostic aids for DTC P0350."," Key On Engine        Key On Engine          Continuous Memory"
P0355,Ignition Coil E Primary/Secondary Circuit See the description for DTC P0350.," Causes: See the possible causes for DTC P0350.",," Aids: See the diagnostic aids for DTC P0350."," Key On Engine Off Key On Engine Running          Continuous Memory"
P0356,Ignition Coil F Primary/Secondary Circuit See the description for DTC P0350.," Causes: See the possible causes for DTC P0350.",," Aids: See the diagnostic aids for DTC P0350."," Key On Engine Off Key On Engine Running          Continuous Memory"
P0357,Ignition Coil G Primary/Secondary Circuit See the description for DTC P0350.," Causes: See the possible causes for DTC P0350.",," Aids: See the diagnostic aids for DTC P0350."," Key On Engine Off Key On Engine Running          Continuous Memory"
P0358,Ignition Coil H Primary/Secondary Circuit See the description for DTC P0350.," Causes: See the possible causes for DTC P0350.",," Aids: See the diagnostic aids for DTC P0350."," Key On Engine Off Key On Engine Running         Continuous Memory"
P0359,Ignition Coil I Primary/Secondary Circuit See the description for DTC P0350.," Causes: See the possible causes for DTC P0350.",," Aids: See the diagnostic aids for DTC P0350."," Key On Engine Off Key On Engine Running         Continuous Memory"
P0360,Ignition Coil J Primary/Secondary Circuit See the description for DTC P0350.," Causes: See the possible causes for DTC P0350.",," Aids: See the diagnostic aids for DTC P0350."," Key On Engine Off Key On Engine Running         Continuous Memory"
P0400,Exhaust Gas Recirculation (EGR) Flow The electric EGR (EEGR) system is monitored once per drive cycle at high and low load,"    EEGR valve stuck open or closed","    Connector to EEGR not seated"," All of the following sensors input data to the PCM for correct operation of the EEGR system: engine coolant temperature (ECT), crankshaft position (CKP), intake air"," Key On Engine Off        Key On Engine Running               Continuous Memory"
P0401,Exhaust Gas Recirculation (EGR) Flow Insufficient Detected The EGR system is monitored during steady state driving conditions while the EGR," Causes:              Vacuum supply",," Aids:       Carry out the key on engine running (KOER) self-test and look for DTC P1408 as an"," Key On Engine Off      Key On Engine Running             Continuous Memory"
P0402,Exhaust Gas Recirculation (EGR) Flow Excessive Detected," Causes:          EGR valve stuck open",," Aids: A DPFEGR PID reading that is greater at idle than during KOEO by 0.5 volt or a rough"," Key On Engine Off       Key On Engine Running            Continuous Memory"
P0403,"Exhaust Gas Recirculation (EGR) Control Circuit The EEGR system is continuously monitored to check the 4 EEGR motor coils, This test checks the electrical function of the EGR vacuum regulator solenoid. The test"," Causes:          EEGR motor windings open Causes:             EVR circuit open",," Aids: Aids: The EGR vacuum regulator solenoid resistance is between 26 and 40 ohms."," Key On Engine Off            Key On Engine Running          Continuous Memory"
P0405,Exhaust Gas Recirculation (EGR) Sensor A Circuit Low The EGR monitor checks the differential pressure feedback EGR (DPFE) sensor," Causes:              DPFE circuit short to ground",," Aids:   A DPFEGR PID reading less than 0.05 volt with the key ON, engine OFF or running"," Key On Engine Off         Key On Engine Running         Continuous Memory"
P0406,Exhaust Gas Recirculation (EGR) Sensor A Circuit High The EGR monitor checks the EGR sensor signal to the powertrain control module," Causes:                 Differential pressure feedback EGR (DPFE) circuit open",," Aids:         A DPFEGR PID reading greater than 4.5 volts with the key ON, engine OFF or"," Key On Engine Off       Key On Engine Running         Continuous Memory"
P0410,Secondary Air Injection (AIR) System The AIR system detected a lack of air flow with the secondary AIR pump ON.," Causes:            AIR inlet hose leak.",," Aids: Measured air flow is less than expected. Visually inspect the secondary AIR inlet hose."," Key On Engine Off           Key On Engine Running          Continuous Memory"
P0412,"Secondary Air Injection (AIR) System - Switching Valve A Circuit On the primary side of the AIR relay, open and short faults on the AIR command circuit are","    Short to voltage or ground in the AIR command circuit","    Open in the AIR command circuit"," For intermittent faults use the AIR PCM output driver fault PID (AIRF) during a harness wiggle test with the AIR PCM output driver in OFF and ON states. The AIR PCM output"," Key On Engine Off       Key On Engine Running              Continuous Memory"
P0420,Catalyst System Efficiency Below Threshold (Bank 1) Indicates the bank 1 catalyst system efficiency is below the acceptable threshold.,"     Use of leaded fuel","     Damaged heated oxygen sensor (HO2S)"," Compare HO2S upstream HO2S11 and downstream HO2S12 switch rate and amplitude. Under normal closed loop fuel conditions, high efficiency catalysts have oxygen storage"," Key On Engine Off         Key On Engine Running              Continuous Memory"
P0430,Catalyst System Efficiency Below Threshold (Bank 2) Indicates the bank 2 catalyst system efficiency is below the acceptable threshold. The powertrain control module (PCM) monitors the complete evaporative emission (EVAP)," Causes: See the possible causes for DTC P0420.     Aftermarket EVAP hardware that does not conform to the required specifications","     Small holes or cuts in the fuel vapor hoses/tubes"," Aids: See the diagnostic aids for DTC P0420. Check for a missing fuel filler cap or the integrity of the cap. Check for loose or damaged vapor hoses. Visually inspect the EVAP canister inlet port, CV"," Key On Engine Off     Key On Engine Running           Continuous Memory Key On Engine Off       Key On Engine Running              Continuous Memory"
P0443,Evaporative Emission System Purge Control Valve Circuit The powertrain control module (PCM) monitors the state of the evaporative emission Monitors the canister vent (CV) solenoid circuit for an electrical failure. The test fails when,"     VPWR circuit open     VPWR circuit open","     EVAP canister purge valve circuit short to GND     KAPWR circuit open (vehicles equipped with engine off natural vacuum (EONV)"," To verify normal function, monitor the EVAP canister purge valve signal PID EVAPPDC (or EVMV for electronic valve) and the signal voltage (PCM control side). With the valve closed, To verify normal functioning, monitor the EVAP canister vent solenoid signal PID EVAPCV and the signal voltage (PCM control side). With the valve open, EVAPCV indicates 0% duty"," Key On Engine Off        Key On Engine Running              Continuous Memory Key On Engine Off        Key On Engine Running              Continuous Memory"
P0451,"Evaporative Emission System Pressure Sensor/Switch Range/Performance Note: For some vehicle applications, DTC P0451 is set for a fuel tank pressure (FTP)","    Intermittent open or short in the FTP sensor or the FTP sensor signal","    Contaminated or damaged sensor"," Monitor the FTP PID and note if it changes from above 15 inches of water to below minus (-) 15 inches of water often in 1 minute."," Key On Engine Off          Key On Engine Running           Continuous Memory"
P0452,Evaporative Emission System Pressure Sensor/Switch Low The powertrain control module (PCM) monitors the evaporative emission (EVAP) control,"     Contamination internal to the FTP sensor connector","     FTP circuit short to GND or SIG RTN"," An FTP voltage PID reading less than 0.22 volt in key ON, engine OFF or key ON, engine running indicates a concern is present."," Key On Engine Off       Key On Engine Running           Continuous Memory"
P0453,Evaporative Emission System Pressure Sensor/Switch High The powertrain control module (PCM) monitors the evaporative emission (EVAP) control,"     FTP circuit open","     VREF short to VPWR"," An FTP voltage PID reading greater than 4.50 volts in key ON, engine OFF or key ON, engine running indicates a concern is present."," Key On Engine Off       Key On Engine Running           Continuous Memory"
P0454,Evaporative Emission System Pressure Sensor/Switch Intermittent The fuel tank pressure changes greater than 14 inches of water in 0.10 seconds.,"    Intermittent open or short in the fuel tank pressure (FTP) sensor or the FTP sensor"," signal"," Monitor the FTP PID and note if it changes from above 15 inches of water to below minus (-) 15 inches of water often in 1 minute."," Key On Engine Off          Key On Engine Running             Continuous Memory"
P0455,Evaporative Emission System Leak Detected (Gross Leak/No Flow) The powertrain control module (PCM) monitors the complete evaporative emission (EVAP),"    Aftermarket EVAP hardware that does not conform to the required specifications","    Disconnected or cracked fuel EVAP canister tube, EVAP canister purge outlet tube,"," Check for audible vacuum noise or significant fuel odor in the engine compartment or near the EVAP canister and fuel tank."," Key On Engine Off           Key On Engine Running             Continuous Memory"
P0456,Evaporative Emission System Leak Detected (Very Small Leak) The powertrain control module (PCM) monitors the complete evaporative emission (EVAP),"     Very small holes or cuts in the fuel vapor hoses/tubes Causes for DTC P0442","     Loose fuel vapor hose/tube connections to the EVAP system components"," Check for a missing fuel filler cap or the integrity of the cap. Check for loose or damaged vapor hoses. Visually inspect the EVAP canister inlet port, CV"," Key On Engine Off          Key On Engine Running               Continuous Memory"
P0457,Evaporative Emission System Leak Detected (Fuel Cap Loose/Off) A fuel tank pressure change less than a minus (-) 7 inches of water in 30 seconds has,"    Fuel filler cap not installed on refueling (storing continuous memory DTC) and the"," fuel cap indicator lamp (FCIL) may also be illuminated"," Check for a missing fuel filler cap or the integrity of the cap. If OK, clear continuous memory DTCs and reinitiate the EVAP emission running loss monitor drive cycle."," Key On Engine Off       Key On Engine Running                Continuous Memory"
P0460,Fuel Level Sensor A Circuit The powertrain control module (PCM) monitors the fuel level input (FLI) communications,"     Empty fuel tank","     Fuel pump (FP) module concern"," Monitor the FLI PIDs in key ON, engine running. A concern is present if the FLI percentage PID is at 25% fill and the FLI voltage PID is less than 0.90 volt with a non-matching fuel"," Key On Engine Off        Key On Engine Running             Continuous Memory"
P0461,Fuel Level Sensor A Circuit Range/Performance The powertrain control module (PCM) monitors the fuel level input (FLI) communications,"     Excessive electrical noise","     Intermittent open circuit"," Verify aftermarket equipment does not generate the radio frequency interference / electromagnetic interference (RFI/EMI) which may cause noisy FLI input signal."," Key On Engine Off         Key On Engine Running            Continuous Memory"
P0462,Fuel Level Sensor A Circuit Low The powertrain control module (PCM) monitors the fuel level input (FLI) communications,"     Empty fuel tank","     Fuel pump (FP) module concern"," See the diagnostic aids for DTC P0460. "," Key On Engine Off        Key On Engine Running            Continuous Memory"
P0463,Fuel Level Sensor A Circuit High The powertrain control module (PCM) monitors the fuel level input (FLI) communications,"     Fuel pump (FP) module concern","     Incorrectly installed fuel gauge"," See the diagnostic aids for DTC P0460. "," Key On Engine Off        Key On Engine Running            Continuous Memory"
P0480,Fan 1 Control Circuit Monitors the low fan control (LFC) primary circuit output from the powertrain control (PCM). This test checks the fan control-variable (FCV) output circuit for the cooling fan clutch. The,"    Open or short LFC circuit     FCV circuit open or short     FCV circuit open in the harness","    Open VPWR circuit to the low speed FC relay     B+ or ground circuit concern to cooling fan     FCV circuit short to voltage or ground in the harness"," When the LFCF PID reads YES, a concern is currently present. During the key on engine off (KOEO) self-test, the cooling fan is cycled on and off. A short to voltage can only be During the key on engine off (KOEO) self-test, the cooling fan is cycled on and off.  During the key on engine off (KOEO) self-test, the cooling fan is cycled on and off. "," Key On Engine Off         Key On Engine Running            Continuous Memory"
P0481,Fan 2 Control Circuit Monitors the HFC primary circuit output from the powertrain control module (PCM). The test,"     Open or short HFC circuit","     Open VPWR circuit to the high speed FC relay"," When the HFCF PID reads YES, a concern is currently present. An open circuit or short to ground can only be detected when the PCM is not grounding the HFC circuit. A short to"," Key On Engine Off        Key On Engine Running            Continuous Memory"
P0482,Fan 3 Control Circuit Monitors the MFC primary circuit output from the powertrain control module (PCM). The test,"      Open or short MFC circuit","      Open IGN START/RUN circuit to the medium speed FC relay"," When the MFCF PID reads YES, a concern is currently present. An open circuit or short to ground can only be detected when the PCM is not grounding the MFC circuit. A short to"," Key On Engine Off       Key On Engine Running             Continuous Memory"
P0483,"Fan Performance The fan control module, referred to as the cooling fan motor, indicates a cooling fan","    Cooling fan motor mechanical concerns","    Obstructions"," Check for a mechanical concern with the cooling fan motor or for obstructions limiting the cooling fan motor operation."," Key On Engine Off            Key On Engine Running            Continuous Memory"
P0491,Secondary Air Injection (AIR) System Insufficient Flow (Bank 1) The secondary AIR system detected that there was insufficient mass air flow change,"        Secondary AIR pump with no or low air flow","        Secondary AIR bypass solenoid leaking/blocked or stuck open/closed"," Measured air flow is less than expected. Visually inspect the secondary AIR inlet hose. "," Key On Engine Off            Key On Engine Running            Continuous Memory"
P0500,Vehicle Speed Sensor (VSS) A Indicates the powertrain control module (PCM) detected an error in the vehicle speed,"     Open in the VSS+/VSS- harness circuit","     Open in the TCSS signal or the TCSS signal return harness circuit"," Aids: Monitor the VSS PID while driving the vehicle. This DTC is set when the PCM detects a"," Key On Engine Off         Key On Engine Running           Continuous Memory"
P0503,Vehicle Speed Sensor (VSS) A Intermittent/Erratic/High Indicates poor or noisy VSS performance. Vehicle speed data is received," Causes:                      Noisy VSS/TCSS input signal from the radio frequency interference /",," Aids:               Monitor the VSS PID while driving the vehicle, and check for intermittent"," Key On Engine Off          Key On Engine          Continuous Memory"
P0505,Idle Air Control (IAC) System The powertrain control module (PCM) attempts to control engine speed during the The powertrain control module (PCM) attempts to control engine speed during the," Causes:           Failure mode effects management (FMEM) condition is present Causes:           IAC circuit open Causes and Diagnostic Aids for the DTC.",," Aids:    This DTC is informational only and it may be accompanied by other DTCs. Diagnose Aids:"," Key On Engine Off        Key On Engine Running          Continuous Memory"
P1114,Intake Air Temperature 2 (IAT2) Circuit Low (Supercharged/Turbocharged engines) Indicates the sensor signal is less than the self-test minimum. The IAT2 sensor minimum,"    Grounded circuit in the harness","    Incorrect harness connection"," Monitor the IAT2 PID value. A typical IAT2 temperature should be greater than the IAT1 temperature. Refer to Section 6 , Reference Values."," Key On Engine Off          Key On Engine Running           Continuous Memory"
P0506,Idle Air Control (IAC) System RPM Lower Than Expected This DTC is set when the powertrain control module (PCM) detects an engine idle This DTC is set when the powertrain control module (PCM) detects an engine idle This DTC is set when the powertrain control module (PCM) detects an engine idle This DTC is set when the powertrain control module (PCM) detects an engine idle The cold start emission reduction monitor has detected an airflow performance deficiency. The cold start ignition timing performance has a functional response test of actual The powertrain control module (PCM) attempts to control engine speed during the key," Causes:             Intake air restriction Causes:             IAC circuit open Causes and Diagnostic Aids for the DTC. Causes:             Intake air leak after throttle body Causes:             IAC circuit shorted to ground Causes and Diagnostic Aids for the DTC.    Damaged intake air system tubes Causes and Diagnostic Aids for the DTC. Causes:                Spark timing     Intake air restriction     IAC circuit open Causes and Diagnostic Aids for the DTC. Causes and Diagnostic Aids for the DTC.","    Restricted air filter     Exhaust restriction     VPWR to IAC solenoid open"," Aids:      This DTC is informational only and it may be accompanied by other DTCs. Diagnose Aids:      Disconnect the IAC valve and look for little or no change in engine RPM as an Aids:      This DTC is informational only and it may be accompanied by other DTCs. Diagnose Aids:      Disconnect the IAC valve and look for little or no change in engine RPM as an This DTC is an informational DTC and may be accompanied by other DTCs. Diagnose other DTCs first. If other DTCs are not present inspect the intake air system for air restrictions and Aids:         Diagnose all other powertrain related DTCs first. Aids: This DTC is informational only and it may be accompanied by other DTCs. Diagnose Aids:"," Key On Engine Off        Key On Engine Running          Continuous Memory Key On Engine Off          Key On Engine Running          Continuous Memory Key On Engine Off          Key On Engine Running             Continuous Memory Key On Engine Off        Key On Engine Running          Continuous Memory Key On Engine Off          Key On Engine Running           Continuous Memory"
P0511,Idle Air Control (IAC) Circuit This DTC is set when the powertrain control module (PCM) detects an electrical load,"        IAC circuit open","        VPWR to IAC solenoid open","  "," Key On Engine Off           Key On Engine Running        Continuous Memory"
P0528,Fan Speed Sensor Circuit No Signal The powertrain control module (PCM) uses the fan speed sensor (FSS) input to monitor,"     FSS VPWR circuit open in the harness","     FSS PWRGND circuit open in the harness"," Visually inspect the cooling fan clutch for damage or obstruction. "," Key On Engine Off          Key On Engine Running             Continuous Memory"
P0532,A/C Refrigerant Pressure Sensor A Circuit Low The ACP sensor inputs a voltage to the powertrain control module (PCM). If the voltage The ACP sensor inputs a voltage to the powertrain control module (PCM). If the voltage,"     ACP circuit short to GND or SIGRTN    ACP sensor circuit short to PWR","     VREF circuit open    ACP circuit open"," Verify the VREF voltage is between 4 and 6 volts.  Verify the VREF voltage is between 4 and 6 volts. "," Key On Engine Off          Key On Engine Running            Continuous Memory Key On Engine Off          Key On Engine Running             Continuous Memory"
P0534,A/C Refrigerant Charge Loss Indicates frequent A/C compressor clutch cycling.,"    Mechanical A/C system concern (such as low refrigerant charge, damaged A/C"," cycling switch)"," This test is designed to protect the transmission. In some strategies, the PCM unlocks the torque converter during A/C clutch engagement. If a concern is present that results in"," Key On Engine Off          Key On Engine Running              Continuous Memory"
P0537,A/C Evaporator Temperature Sensor Circuit Low Indicates the ACET signal input was less than the self-test minimum. The self-test minimum,"     ACET circuit short to ground or SIG RTN","     Damaged ACET sensor"," The powertrain control module (PCM) sources a low current 5 volts on the ACET circuit (this voltage can be measured with the sensor disconnected). As the A/C evaporator air"," Key On Engine Off         Key On Engine Running          Continuous Memory"
P0538,A/C Evaporator Temperature Sensor Circuit High Indicates the ACET signal input was greater than the self-test maximum. The self-test,"     ACET circuit open","     SIG RTN circuit open to the ACET sensor"," The powertrain control module (PCM) sources a low current 5 volts on the ACET circuit (this voltage can be measured with the sensor disconnected). As the A/C evaporator air"," Key On Engine Off         Key On Engine Running          Continuous Memory"
P0552,Power Steering Pressure (PSP) Sensor/Switch Circuit Low Indicates the PSP sensor input signal was less than the self-test minimum. Indicates the PSP sensor input signal was greater than the self-test maximum.," Causes:             PSP sensor damaged Causes:           PSP sensor damaged",," Aids: View the PSP PID to monitor the PSP input. Aids: View the PSP PID to monitor the PSP input."," Key On Engine Off Key On Engine Running Continuous Memory Key On Engine Off         Key On Engine Running        Continuous Memory"
P0579,"Cruise Control Multifunction Input A Circuit Range / Performance "," Causes:",," Aids:"," Key On Engine Off Key On Engine Running Continuous Memory"
P0581,"Cruise Control Multifunction Input A Circuit High "," Causes:",," Aids:"," Key On Engine Off Key On Engine Running Continuous Memory"
P0600,Serial Communication Link Indicates an error occurred in the powertrain control module (PCM). This DTC may be,"    Damaged PCM"," ","  "," Key On Engine Off         Key On Engine Running           Continuous Memory"
P0602,Powertrain Control Module (PCM) Programming Error This DTC indicates a programming error within the vehicle ID (VID) block.,"     VID data corrupted by the scan tool during VID reprogramming"," "," Using the scan tool, reprogram the VID block. If the PCM does not allow reprogramming of the VID block, reflashing of the PCM is required."," Key On Engine Off       Key On Engine Running           Continuous Memory"
P0603,Internal Control Module Keep Alive Memory (KAM) Error Indicates the powertrain control module (PCM) has experienced an internal memory,"     Reprogramming","     Battery terminal corrosion"," If KAPWR is interrupted to the PCM because of a battery or PCM disconnect, this DTC can be generated on the first power-up."," Key On Engine Off        Key On Engine Running          Continuous Memory"
P0604,Internal Control Module Random Access Memory (RAM) Error Indicates the powertrain control module (PCM) RAM has been corrupted.,"    Module reprogramming","    Aftermarket performance products.","  "," Key On Engine Off         Key On Engine Running             Continuous Memory"
P0605,Internal Control Module Read Only Memory (ROM) Error The powertrain control module (PCM) ROM has been corrupted.,"    An attempt was made to change the calibration","    Module programming error","  "," Key On Engine Off          Key On Engine Running             Continuous Memory"
P0606,Control Module Processor This DTC indicates a register readback (powertrain control module [PCM] internal,"    Damaged PCM"," "," Internal PCM concern. Install a new PCM. "," Key On Engine Off          Key On Engine Running             Continuous Memory"
P0607,Control Module Performance Indicates that the powertrain control module (PCM) internal central processing unit (CPU) Indicates an error occurred in the powertrain control module (PCM). This DTC is set in Indicates an error occurred in the powertrain control module (PCM).,"    Module programming error    Software incompatibility issue    Damaged PCM Causes:             Software incompatibility issue","    Aftermarket performance products    Damaged PCM ","   Verify the PCM is at the latest calibration level.  Inspect the harness for damage. Verify correct operation of the sensors using VREF and related circuits. Aids: Verify the PCM is at the latest calibration level."," Key On Engine Off           Key On Engine Running            Continuous Memory Key On Engine Off         Key On Engine Running            Continuous Memory Key On Engine Off           Key On Engine Running          Continuous Memory Key On Engine Off Key On Engine Running           Continuous Memory"
P0610,Control Module Vehicle Options Error Indicates a powertrain control module (PCM) vehicle options error. Indicates a calculation error occurred in the powertrain control module (PCM). Indicates a calculation error occurred in the powertrain control module (PCM). Indicates an error occurred in the powertrain control module (PCM). Indicates an error occurred in the powertrain control module (PCM).," Causes:             Module reprogramming  Causes:           Crankshaft position (CKP) sensor circuit is open or short Causes:           Software incompatibility issue ","  "," Aids: Check for sensor and circuit related DTCs. Do not install a new electronic throttle body (ETB) for this DTC. Aids: Verify correct operation of the CKP and CMP sensors and related circuits. Aids: Verify the PCM is at the latest calibration level. Aids: Verify correct operation of the electronic throttle control (ETC) components and related"," Key On Engine Off Key On Engine Running Continuous Memory Key On Engine Off          Key On Engine Running             Continuous Memory Key On Engine Off Key On Engine Running              Continuous Memory Key On Engine Off Key On Engine Running             Continuous Memory Key On Engine Off         Key On Engine Running          Continuous Memory"
P0620,Generator Control Circuit The powertrain control module (PCM) reads the GENLI and sends a DTC through the,"    I-line control (ILC) circuit short to ground","    ILC circuit short to voltage"," Verify the battery voltage is 14.5 volts. Verify the generator/regulator has the correct part number."," Key On Engine Off             Key On Engine Running          Continuous Memory"
P0622,Generator Field Terminal Circuit The powertrain control module (PCM) monitors the generator load from the,"    GENLI circuit short to voltage or ground","    GENLI circuit open"," Verify the battery voltage is 14.5 volts. Verify the generator/regulator has the correct part number."," Key On Engine Off        Key On Engine Running              Continuous Memory"
P0625,Generator Field Terminal Circuit Low The powertrain control module (PCM) monitors generator load from the generator/regulator,"     GENRC circuit short to ground","     GENLI circuit short to ground"," Verify the battery voltage is 14.5 volts. Verify the generator/regulator has the correct part number."," Key On Engine Off        Key On Engine Running              Continuous Memory"
P0626,Generator Field Terminal Circuit High The powertrain control module (PCM) monitors generator load from the generator/regulator Indicates an error occurred in the powertrain control module (PCM).,"     GENLI circuit short to voltage    Module communications network concerns","     GENRC circuit short to voltage    Output shaft speed (OSS) sensor concern"," Verify the battery voltage is 14.5 volts. Verify the generator/regulator has the correct part number. Aids: Repair any ABS DTCs, ABS-related DTCs in other modules, or vehicle communication"," Key On Engine Off        Key On Engine Running              Continuous Memory Key On Engine Off       Key On Engine Running            Continuous Memory"
P0642,Sensor Reference Voltage A Circuit Low Indicates the reference voltage (VREF) circuit is lower than VREF minimum.," Causes:          VREF short to ground",," Aids: This DTC is set due to an under voltage condition on the VREF circuit."," Key On Engine Off     Key On Engine Running        Continuous Memory"
P0643,Sensor Reference Voltage A Circuit High Indicates the reference voltage (VREF) circuit is higher than VREF maximum. Monitors the A/CCR circuit output from the powertrain control module (PCM). The test fails," Causes:          VREF short to voltage     Open or short A/CCR circuit","     Damaged A/CCR relay"," Aids: This DTC is set due to an over voltage condition on the VREF circuit. The A/CCR control circuit can be monitored using the WACF and WAC PID. When the WACF PID reads YES, a concern is present."," Key On Engine Off      Key On Engine Running        Continuous Memory Key On Engine Off      Key On Engine Running              Continuous Memory"
P0657,Actuator Supply Voltage A Circuit/Open Voltage to all transmission solenoids has been interrupted.," Causes:",," Aids: Refer to the Workshop Manual Section 307-01, Automatic Transmission."," Key On Engine Off Key On Engine Running Continuous Memory"
P0660,"Intake Manifold Tuning Valve (IMTV) Control Circuit Open - Bank 1 The IMTV system is monitored for failure during continuous, key on engine off (KOEO), or","     IMTV signal circuit open, shorted to PWR GND or SIG RTN","     Damaged IMTV actuator"," An IMTVM PID reading may indicate a fault. "," Key On Engine Off        Key On Engine Running             Continuous Memory"
P0663,"Intake Manifold Tuning Valve (IMTV) Control Circuit Open - Bank 2 The IMTV system is monitored for failure during continuous, key on engine off (KOEO), or","     IMTV signal circuit open, shorted to PWR GND or SIG RTN","     Damaged IMTV actuator"," An IMTVM PID reading may indicate a fault. "," Key On Engine Off        Key On Engine Running             Continuous Memory"
P0685,Electronic Control Module (ECM)/Powertrain Control Module (PCM) Power Relay Control This DTC sets when the ignition switch position run (ISP-R) circuit indicates the key is in,"     PCM relay control (PCMRC) circuit short to ground in the harness","     Damaged PCM power relay"," Ability to communicate with the PCM when the key is in the OFF, ACC, or LOCK position indicates a hard fault."," Key On Engine Off        Key On Engine Running             Continuous Memory"
P0689,Electronic Control Module (ECM)/Powertrain Control Module (PCM) Power Relay Sense This DTC sets when the passive anti theft system (PATS) system indicates the key is in,"     Ignition circuit fuse","     ISP-R circuit open in the harness"," Diagnose and repair all PATS DTCs first. "," Key On Engine Off         Key On Engine Running           Continuous Memory"
P0690,Electronic Control Module (ECM)/Powertrain Control Module (PCM) Power Relay Sense This DTC sets when the passive anti theft system (PATS) system indicates the key is in,"     ISP-R circuit short to voltage in the harness","     Damaged PATS system"," Diagnose and repair all PATS DTCs first. "," Key On Engine Off         Key On Engine Running           Continuous Memory"
P0703,Brake Switch B Input Circuit Indicates the powertrain control module (PCM) did not receive a brake pedal position," Causes:            Open or short in the BPP circuit",," Aids:     Check for proper function of the stoplamps. Using a scan tool, check the BPP PID."," Key On Engine Off         Key On Engine Running          Continuous Memory"
P0704,Clutch Switch Input Circuit When the clutch pedal is applied the voltage goes to low. If the powertrain control module,"     Clutch pedal position (CPP) circuit short to voltage","     Damaged CPP switch"," When the clutch pedal is applied and then released, the CPP switch voltage should cycle. "," Key On Engine Off          Key On Engine Running          Continuous Memory"
P0705,"Transmission Range Sensor A Circuit (PRNDL) Input "," Causes:",," Aids:"," Key On Engine Off Key On Engine Running Continuous Memory"
P0707,Transmission Range Sensor A Circuit Low," Causes:",," Aids:"," Key On Engine Off Key On Engine Running Continuous Memory"
P0708,"Transmission Range Sensor A Circuit High  "," Causes: Causes:",," Aids: Aids:"," Key On Engine Off Key On Engine Running Continuous Memory Key On Engine Off Key On Engine Running Continuous Memory"
P0720,Output Shaft Speed (OSS) Sensor Circuit The OSS sensor inputs a signal to the powertrain control module (PCM) based on the,"    OSS sensor circuit short to GND","    OSS sensor circuit short to PWR"," Verify the sensor signal output varies with the vehicle speed. "," Key On Engine Off          Key On Engine Running            Continuous Memory"
P0721,Output Shaft Speed (OSS) Sensor Circuit Range/Performance The OSS sensor signal is very sensitive to noise. This noise distorts the input to the,"    Wiring misrouted","    Aftermarket add-on"," Aids: Check the routing of the harness."," Key On Engine Off            Key On Engine Running         Continuous Memory"
P0722,"Output Shaft Speed (OSS) Sensor Circuit No Signal The OSS sensor failed to provide a signal to the PCM upon initial movement of The OSS sensor signal to the PCM is irregular or interrupted.       "," Causes:              Damaged OSS connector Causes:             Harness connector not properly seated Causes: Causes: Causes: Causes: Causes: Causes: Causes:",," Aids:     Check the wiring, connector, and sensor for damage. Aids:      Verify harness and connector integrity. Aids: Aids: Aids: Aids: Aids: Aids: Aids:"," Key On Engine Off         Key On Engine Running         Continuous Memory Key On Engine Off Key On Engine Running           Continuous Memory Key On Engine Off Key On Engine Running Continuous Memory Key On Engine Off Key On Engine Running Continuous Memory Key On Engine Off Key On Engine Running Continuous Memory Key On Engine Off Key On Engine Running Continuous Memory Key On Engine Off Key On Engine Running Continuous Memory Key On Engine Off Key On Engine Running Continuous Memory Key On Engine Off Key On Engine Running Continuous Memory"
P0815,"Upshift Switch Circuit "," Causes:",," Aids:"," Key On Engine Off Key On Engine Running Continuous Memory"
P0830,Clutch Pedal Switch A Circuit The powertrain control module (PCM) monitors the clutch pedal position bottom of travel The powertrain control module (PCM) monitors the clutch pedal position top of travel (CPP-,"    Damaged CPP-BT switch     Damaged CPP-TT switch","    Damaged CPP-BT harness     Damaged CPP-TT harness"," Verify that the vehicle was not push-started with the clutch engaged. Check for aftermarket equipment such as remote starting devices which may bypass the clutch pedal position Verify that the vehicle was not push-started with the clutch engaged. Check for aftermarket equipment such as remote starting devices which may bypass the clutch pedal position"," Key On Engine Off         Key On Engine Running             Continuous Memory Key On Engine Off        Key On Engine Running             Continuous Memory"
P0840,Transmission Fluid Pressure Sensor/Switch A Circuit   The OBD monitors are carried out during the OBD drive cycle. DTC P1000 is stored in," Causes: Causes:    The vehicle is new from the factory","    Battery or powertrain control module (PCM) had recently been disconnected"," Aids: Aids: (OBD) Systems Readiness Test Not Complete This DTC, inspection/maintenance (I/M) readiness function is part of the PCM strategy. A battery disconnection or clearing codes using a scan tool results in the various I/M"," Key On Engine Off Key On Engine Running Continuous Memory Key On Engine Off Key On Engine Running Continuous Memory Key On Engine Off         Key On Engine Running               Continuous Memory"
